,articles
56,"The Snapchat app logo is seen on a smartphone in this picture illustration taken September 15, 2017. REUTERS/Dado Ruvic/Illustration/File Photo Snap Inc (SNAP.N) said Friday it will acquire WaveOptics Ltd, a British augmented reality (AR) technology company, for over $500 million. The deal, first reported by The Verge and confirmed by a Snap spokesman, will help the owner of photo messaging app Snapchat push its way into a future where AR eyewear could be ubiquitous. Snap, along with other tech giants like Facebook Inc (FB.O) and Apple Inc (AAPL.O), are racing to build AR devices as the next technological frontier after the smartphone. The vision behind AR eyewear is that it could allow a user to virtually see route directions in front of them, or see information about a landmark in their surroundings, for example. Snap said it will pay half the $500 million for WaveOptics in stock at closing, and the other half will be paid in either cash or stock in two years. Snap is based in Santa Monica, California, while WaveOptics is headquartered in Oxford, England. On Thursday, Snap unveiled a new version of its Spectacles glasses, the first to incorporate AR with two built-in cameras, two speakers and four microphones.  read more  The new Spectacles won’t be sold to the public, and will only be available to AR developers who apply to use the glasses. Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
57,"The Snapchat app logo is seen on a smartphone in this picture illustration taken September 15, 2017. REUTERS/Dado Ruvic/Illustration/File Photo Snap Inc (SNAP.N) said Friday it will acquire WaveOptics Ltd, a British augmented reality (AR) technology company, for over $500 million. The deal, first reported by The Verge and confirmed by a Snap spokesman, will help the owner of photo messaging app Snapchat push its way into a future where AR eyewear could be ubiquitous. Snap, along with other tech giants like Facebook Inc (FB.O) and Apple Inc (AAPL.O), are racing to build AR devices as the next technological frontier after the smartphone. The vision behind AR eyewear is that it could allow a user to virtually see route directions in front of them, or see information about a landmark in their surroundings, for example. Snap said it will pay half the $500 million for WaveOptics in stock at closing, and the other half will be paid in either cash or stock in two years. Snap is based in Santa Monica, California, while WaveOptics is headquartered in Oxford, England. On Thursday, Snap unveiled a new version of its Spectacles glasses, the first to incorporate AR with two built-in cameras, two speakers and four microphones.  read more  The new Spectacles won’t be sold to the public, and will only be available to AR developers who apply to use the glasses. Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
58,"The logo of technology company Nvidia is seen at its headquarters in Santa Clara, California, February 11, 2015.  REUTERS/Robert Galbraith/File Photo Nvidia Corp (NVDA.O) on Friday announced a four-for-one stock split as it looks to make its stock less expensive for investors, sending the chipmaker's shares up 3%. The company's stock, which was last up at over $600 in premarket trading, has gained nearly 12% this year after its value more than doubled in 2020. Stock splits can potentially attract retail investors who make small trades. However, as brokerages increasingly allow customers to buy parts of shares, the benefit of share splits appears to have diluted over time. Apple (AAPL.O) split its stock 4-for-1, while electric carmaker Tesla (TSLA.O) split its stock 5-for-1 last year, with both companies saying they aimed to make their shares more affordable to individual investors. Santa Clara, California-based Nvidia said stock holders of record on July 21 would receive dividend of three additional shares after the close of trading on July 19, with the stock trading on a split-adjusted basis beginning July 20. The announced split will require stockholder approval at the company's annual meeting in June. Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
59,"The Netflix logo is seen on their office in Hollywood, Los Angeles, California, U.S. July 16, 2018. REUTERS/Lucy Nicholson/File Photo Netflix Inc (NFLX.O) is looking to hire an executive to oversee its expansion into videogames, a person familiar with the matter said, a sign that it is ramping up efforts to grow beyond its traditional business as streaming competition intensifies. The move comes at a time when the video gaming industry has benefited from a surge in demand from gamers staying at home during the COVID-19 pandemic. Netflix has experimented with interactive programming in the past with movies such as ""Black Mirror: Bandersnatch"" and ""You vs. Wild"" that enabled viewers to decide the characters' moves. It has also created games based on shows ""Stranger Things"" and ""La casa de Papel (Money Heist)"". The Information reported earlier on Friday Netflix had discussed offering a bundle of games similar to Apple's online subscription offering, Apple Arcade, as an option. While the details of the company's games strategy are still very much in flux, it has decided that the games will not feature advertising, the report said. Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
60,"Discover Thomson Reuters By Terry Slavin – Editor, Reuters Professional 8 Min Read Joe Biden’s ambitious pledge last month to halve U.S. greenhouse gas emissions by 2030, and the EU’s move to raise its 2030 target for cutting emissions from 40% to 55%, appear to be two leaps forward for humankind by pushing for urgent action to turn the tide on disastrous climate change. The question, however, is whether the politicians who attended Biden’s climate summit will be able to commandeer the companies that produce the vast majority of climate destroying emissions into action to deliver their targets. Policymakers are critical in that they have the power to turn progressive voluntary action by a small group of companies to cut their carbon footprint into mandatory requirements governing entire sectors, rewarding early adopters, levelling the playing field, and scaling up impact. It’s why Ford, Volkswagen, Honda, BMW and Volvo supported California in its battle with the Trump administration, which sought to reverse rules set by the state a decade ago requiring automakers to reduce CO2 emissions by around 30% between now and 2025. Others, including GM, Nissan, Toyota and Subaru in the Coalition for Sustainable Automotive Regulation – a case of double-speak if ever there was one - backed Trump’s lawsuit, though GM and Nissan pulled out just after Biden’s election, and the rest left in February. The same dynamic is playing out at the moment in the EU, where Europe’s automakers are due to find out in July what their contribution to the EU’s new climate target will be. Reuters reports that Volkswagen, which owns Porsche, Audi, VW, Seat, and Skoda, is telegraphing to policymakers that it would support even more ambitious cuts in emissions, upsetting smaller rivals who want Brussels to give them more leeway. But just how prepared are even the most ambitious companies to follow where policymakers have said they will lead? In partnership with Signal Climate Analytics, Reuters has been exploring the extent to which the top 250 publicly traded emitters, which together account for more than a third of global CO2 emissions, are bringing their operations in line with the global agenda of keeping global temperature rises to well below 2C. Looking at the biggest greenhouse gas emitters in the transportation sector, which accounts for about a fifth of global CO2, in the accompanying chart we see the following pledges, with the final dark green bar awarded to firms that have made a commitment similar to the new country-wide U.S. goal, with a target over the next decade committing to over 40% decarbonisation. Among the 27 names on the list, only five of them, AP Moeller-Maersk, Daimler, Delta Airlines, General Motors and Volkswagen, have made a sufficient commitment in line with a sub 2C world, according to Signal Climate Analytics. Another 11 have set targets in line with science, but have not set targets for action in their dominant emissions type, those from their product use and supply chains, known as their scope 3 emissions, in the next nine years. Looking more broadly at the 250 largest emitters, only 10% have committed to meaningful decarbonisation in the next decade. There has been a lack of guidance for how companies can set credible net-zero goals, and, equally importantly, a mechanism to hold their feet to the fire and ensure they follow through. The Science Based Targets Initiative, which was set up in 2015 ahead of the Paris Climate summit, has until now only set rules for decarbonisation of companies’ direct operations in line with a 2C world. Net-zero carbon target-setting by both countries and companies is a more recent phenomenon, in the wake of the 2018 IPCCC report that stressed the need for emissions to fall to zero by 2050 to keep global warning to 1.5C. SBTi is in the process of developing a global standard for net-zero businesses, which will have to align with a below 2C world, but it will not be published until later this year. The new standard will have requirements for monitoring, verification and annual reporting of progress towards targets, something that has until now been missing. Tim Nixon, CEO of Signal Climate Analytics, says there should be far more data disclosure from companies about their environmental impacts, including their capacity: • To deliver progressively larger emissions reductions over time through specific product and operational innovation • Of renewable energy sources to fill the energy gap in their value chain • To eliminate human rights abuses, particularly in sectors like metals, mining and consumer goods • Implement circularity of their products and processes Regulators are already moving to force their hands in this direction. Internationally, the London-based International Financial Reporting Standards Foundation (IFRS) has been asked by governments and financial regulators to establish a consistent, single set of global standards on how listed companies should disclose risks from climate-change in their operations. This will replace the current patchwork of public and private-sector approaches that make it harder for investors to compare companies, and has allowed for the proliferation of greenwash. In April officials leading the project said it aims to publish its first batch of standards by the middle of next year. In Europe a new proposed Corporate Sustainability Reporting directive was published in April that will require companies to publish information on how their strategy aligns with limiting global warming to 1.5C, and to the EU’s own climate transition benchmarks. And such action now looks likely to be replicated in the U.S, where there are currently no mandatory standards for disclosing climate risks, following the Biden Administration’s new Executive Order on Climate-Related Risk. According to Mindy Lubber, CEO of ESG nonprofit Ceres, Sen. Elizabeth Warren and Rep. Sean Casten are expected to re-introduce Senate and House bills soon that would require companies to disclose climate risk, while for the first time, publicly traded companies including Apple, HP, Salesforce, and Uber have announced public support for regulatory action by the SEC to mandate climate disclosure rules. But Nixon says he doesn’t think companies should be let off the hook from taking action now. “There will not be agreement in our lifetime on the perfect standard, and competing regional claims for a new ‘global’ standard will likely extend the debate,” he says. “Companies know where their emissions are concentrated, and they can choose to report and reduce, starting today, and progress meaningfully and transparently over the next decade.” He adds: “We desperately need a new Protocol like that agreed in Montreal for ozone which was completed in less than 18 months once the severity of the problem was agreed,” Nixon said. “Such a treaty would build on current regional proposals and bind all nations together on a unified corporate framework for reporting and targets. ” In absence of such an instrument, he said, we are left looking largely to the heads of global businesses for change in the very near term. Opinions expressed are those of the author. They do not reflect the views of Reuters News, which, under the Trust Principles, is committed to integrity, independence, and freedom from bias. Reuters Professional is owned by Thomson Reuters. Our Standards: The Thomson Reuters Trust Principles. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays."
61,"The dating app Tinder is shown on an Apple iPhone in this photo illustration taken February 10, 2016. REUTERS/Mike Blake/Illustration/File Photo                     GLOBAL BUSINESS WEEK AHEAD    SEARCH GLOBAL BUSINESS 31 JUL FOR ALL IMAGES/File Photo Match Group Inc (MTCH.O) said on Friday it had teamed up with the White House to promote COVID-19 vaccinations across its popular online dating apps such as Tinder, OkCupid and Hinge. Promotional campaigns on the apps will launch in the coming weeks and will run until the July 4 Independence Day holiday. President Joe Biden has set a goal to vaccinate 70% of U.S. adults with at least one COVID-19 shot by that date.  read more  To meet the target as demand slows for vaccines in the country, the White House announced partnerships with ride-hailing services Uber (UBER.N) and Lyft (LYFT.O) earlier this month.  read more  As of Thursday, the United States has administered about 279.4 million doses, with 48.2% of its people receiving at least one shot, according to the latest data from the U.S. Centers for Disease Control and Prevention. Match said its campaigns will include information about where to find vaccine sites, as well as other new app features including profile badges to indicate users' vaccination status.  Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
62,"A federal judge on Friday grilled Apple Inc (AAPL.O) Chief Executive Tim Cook over whether the iPhone maker's App Store profits from developers such as ""Fortnite"" maker Epic Games are justified and whether Apple faces any real competitive pressure to change its ways. Cook testified for more than two hours in Oakland, California, as the closing witness in Apple's defense against Epic's charges that the iPhone maker's App Store controls and commissionshave created a monopoly that Apple illegally abuses. App makers including music service Spotify Technology (SPOT.N), European regulators and U.S. politicians who question whether the company that once urged the world to 'think different' has now become too big and too powerful. At the end of testimony, Judge Yvonne Gonzalez Rogers questioned Cook, pressing him to concede that game developers generate most App Store revenue and help subsidize other apps on the store that pay no commission. Gonzalez said the profits Apple reaps from game developers ""appear to be disproportionate."" ""I understand this notion that somehow Apple is bringing the customer to the dance,"" she said. ""But after that first time, after that first interaction, the developers are keeping customers with the game. Apple is just profiting from that, it seems me."" Cook disagreed. ""The free apps bring a lot to the table. Only the people who are really profiting in a major way are paying 30"" percent commissions, he said. Epic has tried to show that Apple's iPhone is a lucrative platform that locks in users, pointing to an internal Apple document that Epic alleges showed the App Store had 78% operating margins. Cook said the document did not reflect the full costs of running the App Store. The testimony constitutes Cook's most extensive public remarks on the App Store, which anchors Apple's $53.8 billion services business. Apple CEO Tim Cook testifies on the stand during a weeks-long antitrust trial at federal court in Oakland, California, U.S. May 21, 2021. Cook on Friday told a court that threats to iPhone security and privacy required tight control of the App Store, which ""Fortnite"" game maker Epic Games says is a monopoly that Apple illegally abuses.  REUTERS/Vicki Behringer Gonzalez Rogers also cited a survey that found 39% of software developers were unhappy with Apple's app distribution services. ""It doesn't seem to me that you feel pressure or competition to actually change the manner in which you act with developers,"" Gonzalez Rogers said. Cook replied that ""we turn the place upside down"" to respond to developer complaints, but later conceded that he does not receive regular reports on how developers feel about working with Apple. At the start of the three-week trial, Gonzalez Rogers also pressed Epic Chief Executive Tim Sweeney with tough questions on how forcing Apple to change would ripple through the software world. Sweeney said he had not thought the issue through. The maker of ""Fortnite,"" an online game which pits players against in each other in an animated ""Battle Royale"" fight to the last survivor, has waged a public relations and legal campaign against Apple. Epicparodied Apple's iconic ""1984"" commercial  and argued in court that it acts anticompetitively by only allowing approved apps on the world's 1 billion iPhones and forcing developers to use Apple's in-app payment system which charges sales commissions of up to 30%. See FACTBOX:  read more  Apple has sought to persuade Gonzalez Rogers that its rules for developers are aimed at keeping its customers' information private and safe from malware. ""We have a maniacal focus on the user and doing the right thing by the customer,"" Cook said. ""Safety and security are the foundation that privacy is built on. Technology has the ability to vacuum up all kinds of data from people, and we like to provide people with tools to circumvent that."" Our Standards: The Thomson Reuters Trust Principles. U.S. President Joe Biden on Friday said he would not allow his Justice Department to seize the phone or email records of reporters, saying any such move would be ""simply wrong."" Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
63,"Britain's Prince Harry, Duke of Sussex looks on as he attends the funeral of Britain's Prince Philip, husband of Queen Elizabeth, who died at the age of 99, in Windsor, Britain, April 17, 2021. Chris Jackson/Pool via REUTERS/File Photo Prince Harry said he abused alcohol to numb the pain of his mother Diana’s death in 1997, and accused the British royal family of neglecting him and his wife Meghan as she contemplated suicide. Harry, now 36, has spoken before about the trauma of losing Diana in a Paris car crash and then having to walk as a 12-year-old behind his mother's coffin in her funeral cortege under the glare of the world's media. ""I was willing to drink, I was willing to take drugs, I was willing to try and do the things that made me feel less like I was feeling,"" Harry told Oprah Winfrey in an Apple TV series about mental health. ""I would probably drink a week’s worth in one day on a Friday or a Saturday night and I would find myself drinking not because I was enjoying it but because I was trying to mask something,"" he said. Harry said the loss of his mother accentuated fears about his own wife Meghan when she grappled with suicidal thoughts, although he said the British royal family neglected them both. ""The thing that stopped her from seeing it through was how unfair it would be on me after everything that had happened to my mum and to now be put in a position of losing another woman in my life, with a baby inside of her, our baby,"" he said. ""I felt completely helpless. I thought my family would help, but every single ask, request, warning, whatever it is, just got met with total silence or total neglect."" Harry's repeated public criticism of the British royal family, led by his 95-year-old grandmother, Queen Elizabeth, and his 72-year-old father, Prince Charles, has created another public relations crisis for the monarchy. The queen has said she was saddened to learn of the experiences of Harry and Meghan. She said that while recollections might differ, the royal family would also address issues around race that had been raised by the couple, who said one unnamed royal made a racist comment about their son Archie before he was born. Our Standards: The Thomson Reuters Trust Principles. Britain's early plan to combat COVID-19 was a ""disaster"" and ""awful decisions"" led to the government imposing lockdowns that could have been avoided, Prime Minister Boris Johnson's former top adviser said. Britain reported on Sunday 2,235 more cases of COVID-19 and five further deaths within 28 days of a positive test, official data showed. Britain will fully digitise its border, allowing accurate counting of people entering and leaving the country, the government said. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
64,"As U.S. stocks are hit with a bout of volatility, some investors are looking to European equities, attracted by lower valuations and the region’s nascent emergence from the COVID-19 pandemic. European equity funds have notched their longest streak of net inflows in more than three years, according to data from EPFR, while fund managers globally surveyed by BofA Global Research said they are more overweight European stocks than at any time since March 2018. Morgan Stanley’s strategists, meanwhile, have named holding European stocks as one of their top trades. The focus on Europe comes as the region’s benchmarks have kept pace with their U.S. counterparts after years of underperformance. The STOXX 600 (.STOXX) is up 10.7% year-to-date, broadly matching the S&P 500. The S&P 500 was off 1.7% from its record high as of Thursday, while the European index has slipped 0.8% from its peak. ""We have been more exposed to the U.S. over the past years and now we are becoming more interested in foreign equities,"" said Brent Schutte, chief investment strategist at Northwestern Mutual Wealth Management Company. Investors see an opportunity as Europe's recovery begins to take root while the U.S. economic growth rate is expected to soon peak. European indexes are also more heavily weighted in the types of stocks expected to perform particularly well as the global economy bounces back, such as financials and industrials. “Vaccinations are ticking up, you are likely to see restrictions come off and that should mean a decent economic recovery which will bleed into the markets in the euro zone,” Schutte said. After contracting in the first quarter, the euro zone's gross domestic product is expected to increase in the second quarter and post its fastest growth in the third, rising on an annualized basis by 9.2%, according to Oxford Economics. U.S. GDP, meanwhile, is expected to post its peak growth rate of 13.3% in the second quarter, after it expanded in the first quarter.  read more  Meanwhile, nearly 48% of the U.S. population had received at least one vaccine dose as of Wednesday, compared with almost 28% of the European population, according to Our World in Data. “The story for the first few months of this year has been around U.S. exceptionalism,"" said Mona Mahajan, senior U.S. investment strategist at Allianz Global Investors. ""As we look through to the next three to six months, that may fade a bit especially if Europe continues to play catch-up.” Many European stocks are also trading at relative discounts to their U.S. counterparts. The S&P 500 trades at nearly 21 times forward earnings compared with 16.7 times for the STOXX index, according to Refinitiv Datastream - a wider gap than on average over the past 10 years, although that difference has recently narrowed. Part of the gap stems from the fact that U.S. indexes are more heavily skewed towards tech and other growth stocks that tend to carry higher valuations. Those stocks have helped propel the U.S. stock market since the financial crisis a decade ago and helped push S&P 500 performance ahead of European markets, but could fall out of favor as rising bond yields and inflation fears cut into their valuations. Several factors could complicate the decision to shift into European stocks. With tech and internet giants such as Apple (AAPL.O) and Amazon (AMZN.O) continuing to put up strong profits, investors may be reluctant to cut back on a trade that has worked for years.  read more  As inflation worries have hit U.S. stocks in recent weeks, there are also some concerns about euro zone inflation, which is approaching 2%, its fastest rate in years.  read more  Any setbacks to Europe's COVID-19 response and economic rebound also could undermine the case for equities there, investors said. So could a reversal in the dollar’s recent weakening trend, which would hurt U.S. investors seeking to convert profits in their euro-denominated assets back into their home currency. The dollar is down about 4% against the euro  since the start of April. ""The next move we make is probably going to be to decrease the U.S. and increase international just because of the forces that we are seeing in the market,"" said John Traynor, chief investment officer of People’s United Wealth Management in Bridgeport, Connecticut. But, Traynor added, ""when the dollar is moving up, that hurts you if you’re investing internationally."" Our Standards: The Thomson Reuters Trust Principles. Bitcoin fell 13% on Sunday after the world's biggest and best-known cryptocurrency suffered another sell-off that left it down nearly 50% from the year's high. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
65,"Discover Thomson Reuters By Mike Dolan 6 Min Read LONDON (Reuters) - Bitcoin’s wild ride this week is far from unusual for the largest crypto token - but the rollercoaster is also its inherent contradiction. Speculators betting for years on bitcoin becoming a stateless digital currency that’s widely used for online retail and payments are largely responsible for its parabolic price rises. But they also seed the sort of blinding volatility that makes that ambition almost untenable. Bitcoin’s 30% plunge on Tuesday after another Chinese government crackdown is not unique. Daily moves of more than 20% have been frequent during the past 6 years. At almost 4.5%, median daily price swings over that time period are more than 6 times that of the main Transatlantic euro/dollar exchange rate. And while some online retailers might accept bitcoin as payment for goods priced in dollars, few could manage the potential accounting chaos of sticker pricing in bitcoin if its value can routinely shift by a fifth in just hours. The flipside is true for buyers. If you think bitcoin’s price keeps on rising over time - much like the latest quadrupling over the past 12 months - then why would you surrender those gains by paying for anything with bitcoin today? And so if that role as a transaction currency or stable store of value remains elusive, it’s essentially just a game of hoarding a finite number of tokens by small groups of people that routinely involves wild, illiquid swings whenever regulators pounce, backers tweet support or big players cash in. As ever, arguments about pros and cons of crypto tokens divide among believers and non-believers - blind faith versus instant dismissal, cheer-leading versus scorn. Deutsche Bank this week likened bitcoin belief structures to the so-called “Tinkerbell effect” - a theory drawing from childrens’ book character Peter Pan’s claim that the fairy only exists because the kids believe she does. “In other words, the value of Bitcoin is entirely based on wishful thinking,” wrote Deutsche analyst Marion Laboure. Laboure estimates that less than 30% of transactions in bitcoin are currently related to payments - the rest is trading, speculation, investment or related activities. And she reckons its liquidity as an investment asset is low. With about 28 million bitcoins changing hands last year, that’s 150% of all those in circulation - almost half the equivalent metric for Apple shares. With a market capitalisation still about $1 trillion, governments can’t ignore bitcoin, even if central banks continue to dismiss its wider systemic importance. They may even welcome the fact its emergence over the past decade has spurred so-called “fintech” innovation as they gradually develop their own central bank digital currencies over the coming years. But Deutsche’s Laboure reckons more crackdowns will come - and most likely the whenever bitcoin even looks like rivalling their currencies for payment. “It is no surprise that governments are not inclined to give up their monetary monopolies. Throughout history, governments first regulate and then take ownership.” If so, what’s the endgame of all the speculation and hoarding - which just further limits bitcoin supply and drives the price higher? Is it just “pass the parcel” while the music keeps playing? Or are people with money to burn punting for quick gains and trading strategically by timing entry and exits? Some argue there is genuine demand for crypto transfers within the half trillion dollars per year of global remittances, as migrant workers often need to funnel money back to poorer countries with strict formal exchange controls. Others claim crypto privacy features draw in demand from criminals, as per this month’s ransomeware hack at Colonial pipeline. But that will just hasten more regulation. Investment arguments beyond simply punting it ever higher range from a lack of “correlation” with other assets to a potential role as an inflation hedge - an odd assertion given its latest reversal comes amid all the post-pandemic inflation scares. Powerful backers have a outsize say too, but are increasingly erratic. Tesla billionaire Elon Musk drove the price skywards earlier this year by saying Tesla would accept bitcoins as payment for its dollar-priced electric vehicle and add bitcoin to the company balance sheet - only to backtrack last week by warning about excessive energy usage in bitcoin mining. With no obvious rationale, star tech stock investor Cathie Wood of Ark Invest claimed this week that bitcoin would rise another tenfold again after it registered a 50% loss in a month. At the $500,000 level she posits, the market cap of bitcoin would then be $10 trillion - or a third of the entire M1 money supply of G20 economies. London School of Economics’ Jon Danielsson reckons that as a result of the concentration of bitcoin ownership, that sort of move would create new multi billionaires - or even the first trillionaire. And that would wildly exaggerate existing wealth skews as the gap between bitcoin haves and have-nots soars to intolerable levels, making a mockery of claims of crypto “democratisation”. As a result, he thinks co-existence of bitcoin and so-called fiat currencies is impossible. It’s all or nothing. If it replaces all G20 currencies in circulation, that would then see each bitcoin priced at $1.5 million. Reality or fiction? “Bitcoin is a bubble,” Danielsson concludes. “It makes sense to ride the bubble as long as possible – just get out in time.” The author is editor-at-large for finance and markets at Reuters News. Any views expressed here are his own.  by Mike Dolan, Twitter: @reutersMikeD. Volatility chart by Aaron Jude Saldana. Editing by Jane Merriman Our Standards: The Thomson Reuters Trust Principles. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays."
